"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Negative feedback from users: Hide all","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Negative feedback from users: Hide"
122140806326654483,61569634500241,"Juan365 Live Stream","Kaonting pasulyap para sa lahat ng All in Juankada araw araw ang saya! ~ Malapit niyo na silang makilala 📸👄

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan","Kaonting pasulyap para sa lahat ng All in Juankada araw araw ang saya! ~ Malapit niyo na silang makilala 📸👄

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",20,"08/09/2025 00:30",N/A,https://www.facebook.com/juan365livestream/videos/684382704661321/,0,0,Videos,,,,,Lifetime,4552,1905,124,97,17,10,224,224,,,,24332.897,7.038,0,0,0
122140807514654483,61569634500241,"Juan365 Live Stream","Kaonting pasulyap para sa lahat ng All in Juankada araw araw ang saya! ~ Malapit niyo na silang makilala 📸👄

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan","Kaonting pasulyap para sa lahat ng All in Juankada araw araw ang saya! ~ Malapit niyo na silang makilala 📸👄

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",20,"08/09/2025 00:54",N/A,https://www.facebook.com/reel/1293488875697265/,0,0,Reels,,,,,Lifetime,18887,2178,108,61,41,6,66,66,,,,64630.039,4.068,0,,0
122140922258654483,61569634500241,"Juan365 Live Stream","Juankada, ready na ba kayo sa ultimate pa-saya at pa-swerte tonight? ✨🎰

📢 Your favorite Juanababes — Abi & Sena — are going LIVE sa Juan365!
🗓 August 10 (TONIGHT!)
🕕 6:00 PM sharp

💎 Ano ang aabangan?
🔥 Spin, win, at jackpot feels
😂 Tawanan at kulitan with Abi & Sena
🎁 Giveaways at pa-premyo para sa mga solid viewers

Kaya don’t miss out! I-tag na ang tropa at mag-abang — mas masaya pag sama-sama!

#Juan365 #JuanababesLive #juan365livestream #SwerteSaJuan #TheResponsibleJuan",,0,"08/10/2025 02:26",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0273FvXdgR3r9U9vjyvzamqA3LLsThB2uFMDQT92aNWkL6pUFoWRB4TkGGjvYjkgEql,0,0,Photos,,,,,Lifetime,4044,1709,324,169,102,53,377,287,80,10,,,,,,
122141010506654483,61569634500241,"Juan365 Live Stream","Juan365 livestream, All in Juan sa saya!!",,0,"08/11/2025 00:14",N/A,https://www.facebook.com/photo.php?fbid=122141010506654483&set=a.122097244610654483&type=3,0,0,Photos,,,,,Lifetime,4,4,20,19,1,0,0,,,,,,,,,
122141019242654483,61569634500241,"Juan365 Live Stream","Magandang Hapon Juankada!!!

🎥 Live tayo mamayang 6PM Juankada! Sama-sama tayo sa Juan365livestream kasama ang ating special guest 🤩💬 Kwentuhan, tawanan, at sorpresa — lahat dito kaya tara na 🔥 

#juan365livestream #specialguest #juanababeslive #swertesajuan #TheResponsibleJuan #AllInJuanSaSaya",,0,"08/11/2025 01:34",N/A,https://www.facebook.com/juan365livestream/posts/pfbid036qMSLKWpRnqPfRuMyUCk5kSsuavCQUx15KEaT18rZhdC47GwUEnmZKv2vsyEGYjXl,0,0,Photos,,,,,Lifetime,2889,1328,68,53,9,6,89,70,19,,,,,,,
122141124044654483,61569634500241,"Juan365 Live Stream","🎰✨ Mga Juankada, G NA G tayo mamaya! ✨🎰

Handa na ba kayo sa kulitan, tawanan, at swertehan? 🤑🔥
Abangan mamaya 6PM sa Juan365 Livestream kasama sina Abi at Juan G — sila ang maghahatid ng good vibes at panalong moments sa inyo! 💃🕺

💸 BONUS ALERT: Maagang pumasok para mas maraming tsansang makakuha ng papremyo at bonuses! 🎁🏆

📅 Kita-kits mamaya sa Juan365 Livestream page,😉

 #Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",,0,"08/11/2025 23:45",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0ZYcKjoz197avVw4JnHuG4r4maabkFuM6G7VCXgCthxF4JBkYPQ5S9CAfJGMV57Lrl,0,0,Photos,,,,,Lifetime,4621,2022,219,159,39,21,308,247,58,3,1,,,,,
122141227550654483,61569634500241,"Juan365 Live Stream","Kay JUAN365, siguradong secure ka—PAGCOR-licensed pa!

 #Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan","Kay JUAN365, siguradong secure ka—PAGCOR-licensed pa!

 #Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",29,"08/13/2025 00:36",uploaded,https://www.facebook.com/reel/1066425792364253/,0,0,Reels,,,,,Lifetime,4623,1038,149,113,26,10,291,291,,,,37342.8,10.947,0,,0
122141232938654483,61569634500241,"Juan365 Live Stream","🎰🔥 O, mga Juankada! Ready na ba kayo sa pasabog mamaya?! 🔥🎰
Walang iwanan — sama-sama tayong magkulitan, magtawanan, at magpaulan ng swerte! 🤑💥
Kita-kits 6PM sa JUAN365 Livestream kasama si Juana Babe Abi at special guest na si Kimmy — siguradong solid ang good vibes at panalong galawan! 💃🕺

💸 HACK SA PANALO: Maagang tumutok para mas malaki ang chance sa papremyo, bonuses, at big surprises! 🎁🏆
📅 Markahan na ang oras — JUAN365 Livestream 🇵🇭🔥

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",,0,"08/13/2025 01:56",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0zMZZaANVLja88bHWmGDDF4oywHeu1nHuPoCF8U4FuPsg7DPiz6BB6cKn5vk4b2hql,0,0,Photos,,,,,Lifetime,1619,704,118,86,25,7,126,97,28,1,,,,,,
122141234258654483,61569634500241,"Juan365 Live Stream","Kay JUAN365, siguradong secure ka—PAGCOR-licensed pa!",,0,"08/13/2025 02:04",N/A,https://www.facebook.com/juan365livestream/posts/pfbid031ELvYR4dSSFky6cL7iJBcFJbTgFvANxEytEGs6zRSTvmaMzu3mVvnrsY8j3txThKl,0,1,Text,,,,,Lifetime,,,,,,,16,16,,,,,,,,
122141321630654483,61569634500241,"Juan365 Live Stream","💸 WEEKLY CASHBACK UP TO 8% – SA SLOTS & FISHING LANG! 🎣🎰
Dito sa JUAN365, kahit talo, may balik-swerte ka pa rin! 😎
Maglaro ng Slots o Fishing Games at makuha ang up to 8% cashback kada linggo!

🗓 Calculation Time:
📍 Monday 00:00 – Sunday 23:59

⏳ Claim Period:
📍 Monday 06:00 – Friday 23:59 (the following week)

⚠ Reminder: Unclaimed cashback = sayang, invalid na!
💡 I-claim agad sa Promotions Section para siguradong makuha ang balik-swerte mo!

JUAN365 — Laging may balik ang laro mo! 💯🔥

 #juanababes #juan365livestream #Juan365PH #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #juantambayan",,0,"08/13/2025 22:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0h4U5wtme6xdDQbVw9uLaVVD2RT9BGBhy9WwyNt35UYh2jpdMczHYFdKyTJuEVk54l,0,0,Photos,,,,,Lifetime,2275,1079,186,99,48,39,53,46,7,,,,,,,
122141328302654483,61569634500241,"Juan365 Live Stream","🔥 PINAKA LATEST. PINAKA HOTTEST. 🔥
Dito sa JUAN365, napakalaki ng panalo at sobrang lambot ng bagsak ng premyo — parang ulan ng swerte na walang tigil! 💸🤑
Umaapaw ang buhos ng panalo araw-araw! 🎰💥

🎯 Huwag magpahuli, Juankada — baka ikaw na ang susunod na jackpot winner! 💯

 #juanababes #juan365livestream #Juan365PH #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #juantambayan","🔥 PINAKA LATEST. PINAKA HOTTEST. 🔥
Dito sa JUAN365, napakalaki ng panalo at sobrang lambot ng bagsak ng premyo — parang ulan ng swerte na walang tigil! 💸🤑
Umaapaw ang buhos ng panalo araw-araw! 🎰💥

🎯 Huwag magpahuli, Juankada — baka ikaw na ang susunod na jackpot winner! 💯

 #juanababes #juan365livestream #Juan365PH #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #juantambayan",50,"08/14/2025 00:22",uploaded,https://www.facebook.com/juan365livestream/videos/2599990923688100/,0,0,Videos,,,,,Lifetime,2237,1187,248,110,39,99,65,60,,5,,17883.717,9.353,0,0,0
122141334170654483,61569634500241,"Juan365 Live Stream","🎰✨ MGA JUANKADA, READY NA BA KAYO SA PASABOG MAMAYA?! ✨🎰
Ihanda na ang sarili sa kulitan, tawanan, at walang patid na swertehan! 🤑🔥
Tutok na 6PM sa JUAN365 Livestream kasama sina Juanababe
 Abi at Juan G — garantisadong good vibes at panalong moments ang hatid nila! 

 #Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",,0,"08/14/2025 02:03",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0ghVvSyrurkTUqMUxxaVWmuyhf5EMoMztAdVCcGjWg4z2yfGE3jYHSxYwHBPeCojdl,0,0,Photos,,,,,Lifetime,4628,2316,334,147,42,145,121,99,19,3,,,,,,
122141378276654483,61569634500241,"Juan365 Live Stream","🎉 CONGRATS SA ATING 5 LUCKY WINNERS! 🎉
Swerte n’yo, Juankada — kayo ang napili ngayong gabi! 🥳💸
Ihanda na ang JUAN365 Member ID dahil automatic naming ipapadala ang inyong prizes within 24 hours!

💡 Tip: Baka ikaw na ang susunod — tumutok lang sa JUAN365 Livestream para sa chance manalo! 🎰🔥

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",,0,"08/14/2025 08:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02uupr7swJo6xMvkG2E817MHCP2nbVTqebM2q5qrqNt8XEGEcDVWuynrk7v5JXB8Wpl,0,0,Photos,,,,,Lifetime,186628,89623,1514,917,515,82,5492,4959,524,9,,,,,,
122141431670654483,61569634500241,"Juan365 Live Stream","📅 Mark your calendars JUANKADA — TONIGHT, 6PM sa JUAN365 Livestream Page! 🚀

🎉 Paulan ng papremyo ALERT! 🎉
Tutok na mamaya 6PM with Juan G & Juanababe Abi — baka ikaw na ang next winner! 🤑💥

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",,0,"08/14/2025 23:56",N/A,https://www.facebook.com/juan365livestream/posts/pfbid037JSKGagvfRTDLVLBs5uQbe2aN6P1HdgQQBoQcvBfn6S9PrwzxDnJMuWrTYrCsFnkl,0,0,Photos,,,,,Lifetime,2707,1225,138,93,20,25,78,68,10,,,,,,,
